field_name,accuracy,correct_docs,total_docs,json_ref,matcher
abstract_purpose,0.2000,1,5,STATIC::Gen Info 1::Gen Info 1|Abstract Information|Abstract Purpose,EnumMatcher
actual_lease_start_date,0.0000,0,5,STATIC::Gen Info 1::Gen Info 1|Lease Information|Actual Lease Start Date,DateMatcher
additional_deposit_interest,0.2000,1,5,STATIC::Gen Info 2::Gen Info 2|Deposits|Interest?,EnumMatcher
additional_deposit_required,0.8000,4,5,STATIC::Gen Info 2::Gen Info 2|Deposits|Add 'l Deposit Required,FloatMatcher
billing_address,0.4000,2,5,STATIC::Gen Info 1::Gen Info 1|Billing Information|Billing Address,AddressMatcher
billing_city,0.8000,4,5,STATIC::Gen Info 1::Gen Info 1|Billing Information|City,StringMatcher
billing_phone,0.2000,1,5,STATIC::Gen Info 1::Gen Info 1|Billing Information|Billing Phone #,PhoneMatcher
billing_state,1.0000,5,5,STATIC::Gen Info 1::Gen Info 1|Billing Information|State,StringMatcher
billing_zip_code,0.8000,4,5,STATIC::Gen Info 1::Gen Info 1|Billing Information|Zip Code,StringMatcher
building_prorata_pct,0.0000,0,5,STATIC::Gen Info 1::Gen Info 1|Premise Information|Building Pro-Rata %,FloatMatcher
building_square_footage,0.0000,0,5,STATIC::Gen Info 1::Gen Info 1|Property Information|Building SF,NumberMatcher
country,0.0000,0,5,STATIC::Gen Info 1::Gen Info 1|Property Information|Country,StringMatcher
cpi_adjustments_required,0.0000,0,5,STATIC::Gen Info 3::Gen Info 3|CPI Adjustments|Required?,EnumMatcher
cpi_name_base_index,1.0000,5,5,STATIC::Gen Info 3::Gen Info 3|CPI Adjustments|CPI Name & Base Index,StringMatcher
dba_name,0.4000,2,5,STATIC::Gen Info 1::Gen Info 1|Tenant Information|DBA Name,StringMatcher
deposit_required,0.0000,0,5,STATIC::Gen Info 2::Gen Info 2|Deposits|Required?,EnumMatcher
deposits_comments,0.2000,1,5,STATIC::Gen Info 2::Gen Info 2|Deposits|Comments/Interest Calculation Method,StringMatcher
exclusive_use_article_paragraph,0.0000,0,5,STATIC::Clauses::Clauses|Other Lease Clauses|Exclusive Use Article and/or Paragraph of Lease,StringMatcher
exclusive_use_description,0.0000,0,5,STATIC::Clauses::Clauses|Other Lease Clauses|Exclusive Use Description,StringMatcher
execution_date,0.0000,0,5,STATIC::Gen Info 1::Gen Info 1|Lease Information|Execution Date,DateMatcher
expiration_date,0.0000,0,5,STATIC::Gen Info 1::Gen Info 1|Lease Information|Expiration Date,DateMatcher
first_occupied,0.0000,0,5,STATIC::Gen Info 1::Gen Info 1|Lease Information|First Occupied,DateMatcher
gl_insurance_aggregate,0.2000,1,5,STATIC::Opt - Misc::Opt - Misc|Insurance|GL Insurance Amt. Aggregate,NumberMatcher
gl_insurance_per_occurrence,0.2000,1,5,STATIC::Opt - Misc::Opt - Misc|Insurance|General Liability (GL) Ins. Amt. Per Occurrence,NumberMatcher
guarantor_amount,0.6000,3,5,STATIC::Gen Info 2::Gen Info 2|Guaranty|Guaranty Amount,StringMatcher
guarantor_name,0.6000,3,5,STATIC::Gen Info 2::Gen Info 2|Guaranty|Guarantor Name,StringMatcher
guaranty,0.8000,4,5,STATIC::Gen Info 2::Gen Info 2|Guaranty|Guaranty?,EnumMatcher
guaranty_expiration_date,0.6000,3,5,STATIC::Gen Info 2::Gen Info 2|Guaranty|Guaranty Expiration Date,StringMatcher
holdover_article_paragraph,0.2000,1,5,STATIC::Clauses::Clauses|Other Lease Clauses|Holdover Article and/or Paragraph of Lease,StringMatcher
holdover_description,0.2000,1,5,STATIC::Clauses::Clauses|Other Lease Clauses|Holdover Description,StringMatcher
insurance_required,0.8000,4,5,STATIC::Opt - Misc::Opt - Misc|Insurance|Insurance Required (Y/N)?,EnumMatcher
insurance_term_start,1.0000,5,5,STATIC::Opt - Misc::Opt - Misc|Insurance|Insurance Term Start,DateMatcher
late_fees_calculation_method,0.6000,3,5,STATIC::Gen Info 3::Gen Info 3|Late Fees|1st Late Fee Calculation Method,EnumMatcher
late_fees_included,0.2000,1,5,STATIC::Gen Info 3::Gen Info 3|Late Fees|1st Late Fee Included in Late Fee,StringMatcher
lease_commence,0.0000,0,5,STATIC::Gen Info 1::Gen Info 1|Lease Information|Lease Commence,DateMatcher
legal_notice_address,0.6000,3,5,STATIC::Opt - Misc::Opt - Misc|Additional Property Contact Information|Legal Notice Address,AddressMatcher
legal_notice_attention,0.8000,4,5,STATIC::Opt - Misc::Opt - Misc|Additional Property Contact Information|Attention,StringMatcher
legal_notice_city_state_zip,0.6000,3,5,STATIC::Opt - Misc::Opt - Misc|Additional Property Contact Information|City/State/ZIP Code,StringMatcher
legal_notice_name,0.6000,3,5,STATIC::Opt - Misc::Opt - Misc|Additional Property Contact Information|Tenant Legal Notice Name,StringMatcher
lessee_name,0.6000,3,5,STATIC::Gen Info 1::Gen Info 1|Tenant Information|Lessee Name,StringMatcher
letter_of_credit_or_lease_bond,0.8000,4,5,STATIC::Gen Info 2::Gen Info 2|Letter of Credit/Lease Bond|Letter of Credit/Lease Bond?,EnumMatcher
loc_lb_amount,1.0000,5,5,STATIC::Gen Info 2::Gen Info 2|Letter of Credit/Lease Bond|Amount,NumberMatcher
loc_lb_auto_reduce,1.0000,5,5,STATIC::Gen Info 2::Gen Info 2|Letter of Credit/Lease Bond|L-C/LB Auto Reduce?,EnumMatcher
loc_lb_beneficiary,1.0000,5,5,STATIC::Gen Info 2::Gen Info 2|Letter of Credit/Lease Bond|Beneficiary/Entity,StringMatcher
loc_lb_expiration_date,1.0000,5,5,STATIC::Gen Info 2::Gen Info 2|Letter of Credit/Lease Bond|L-C/LB Expiration Date,DateMatcher
